id;nombre;descripcion;autor;fecha_publicacion;numero_ejemplares;costo
1;deposit Hormigon;Papelería monitorizar;Turquia Camboya;2021-10-28T23:56:27;71316;99995
2;indexing microchip;Cine Pelota architect;ubiquitous;2021-10-29T02:14:29;29045;15706
3;hacking Negro Factores;Increible proporciona;Nepal hack;2021-10-29T04:55:30;51377;82002
4;system Marroquinería withdrawal;deposit Madera;Credit Gris bluetooth;2021-10-28T22:28:50;93415;1769
5;invoice Credit;Práctico Buckinghamshire sistémica;Loan Ladrillo Berkshire;2021-10-29T00:43:23;86694;822
6;vía Fundamental Botswana;Buckinghamshire;Zapatos Rústico;2021-10-29T12:01:12;67864;15674
7;Murcia;Hormigon;hacking Letonia Amarillo;2021-10-28T19:52:59;85327;65656
8;neural;Sabroso Cambridgeshire backing;application;2021-10-29T14:07:20;22464;85179
9;collaborative 24/365 Analista;Mercados generate;cutting-edge;2021-10-29T05:25:37;95740;13484
10;Operativo world-class;copying instalación;Nepal;2021-10-28T23:44:42;73091;11268
